Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_19_113,VPWR,li1,57.7300,62.5600,1.800000
FILLER_19_85,VPWR,li1,46.0000,62.5600,1.800000
FILLER_19_83,VPWR,li1,43.9300,62.5600,1.800000
FILLER_19_75,VPWR,li1,41.8600,62.5600,1.800000
FILLER_19_63,VPWR,li1,37.2600,62.5600,1.800000
FILLER_19_57,VPWR,li1,32.2000,62.5600,1.800000
FILLER_19_51,VPWR,li1,29.2100,62.5600,1.800000
FILLER_19_35,VPWR,li1,21.8500,62.5600,1.800000
FILLER_19_29,VPWR,li1,20.2400,62.5600,1.800000
FILLER_19_27,VPWR,li1,18.1700,62.5600,1.800000
FILLER_19_15,VPWR,li1,15.1800,62.5600,1.800000
FILLER_19_3,VPWR,li1,9.6600,62.5600,1.800000
FILLER_18_117,VPWR,li1,59.5700,62.5600,1.800000
FILLER_18_108,VPWR,li1,55.4300,62.5600,1.800000
FILLER_18_93,VPWR,li1,48.7600,62.5600,1.800000
FILLER_18_89,VPWR,li1,46.6900,62.5600,1.800000
FILLER_18_85,VPWR,li1,45.5400,62.5600,1.800000
FILLER_18_80,VPWR,li1,43.2400,62.5600,1.800000
FILLER_18_68,VPWR,li1,39.5600,62.5600,1.800000
FILLER_18_49,VPWR,li1,28.7500,62.5600,1.800000
FILLER_18_37,VPWR,li1,22.7700,62.5600,1.800000
FILLER_18_29,VPWR,li1,19.3200,62.5600,1.800000
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.800000
FILLER_18_15,VPWR,li1,15.1800,62.5600,1.800000
FILLER_18_3,VPWR,li1,9.6600,62.5600,1.800000
FILLER_17_113,VPWR,li1,57.7300,57.1200,1.799998
FILLER_17_77,VPWR,li1,41.6300,57.1200,1.799997
FILLER_17_55,VPWR,li1,31.0500,57.1200,1.799997
FILLER_17_41,VPWR,li1,24.6100,57.1200,1.799998
FILLER_17_15,VPWR,li1,13.8000,57.1200,1.799999
FILLER_17_3,VPWR,li1,9.6600,57.1200,1.799999
FILLER_16_92,VPWR,li1,49.2200,57.1200,1.799998
FILLER_16_80,VPWR,li1,43.2400,57.1200,1.799997
FILLER_16_68,VPWR,li1,39.5600,57.1200,1.799998
FILLER_16_37,VPWR,li1,22.7700,57.1200,1.799998
FILLER_16_29,VPWR,li1,19.3200,57.1200,1.799998
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.799998
FILLER_16_15,VPWR,li1,15.1800,57.1200,1.799999
FILLER_16_3,VPWR,li1,9.6600,57.1200,1.799999
FILLER_15_83,VPWR,li1,45.0800,51.6800,1.799994
